904,2779251,How can I convert JSON to a HashMap using Gson?,https://stackoverflow.com/questions/2779251/how-can-i-convert-json-to-a-hashmap-using-gson,true,400939,15943171,16,321,2021-05-11 00:37:55.000000,2010-05-06 15:29:34.000000,2022-03-28 01:52:02.000000,304151,"<p>I'm requesting data from a server which returns data in the JSON format. Casting a HashMap into JSON when making the request wasn't hard at all but the other way seems to be a little tricky. The JSON response looks like this:</p>
<pre class=""lang-json prettyprint-override""><code>{ 
    ""header"" : { 
        ""alerts"" : [ 
            {
                ""AlertID"" : ""2"",
                ""TSExpires"" : null,
                ""Target"" : ""1"",
                ""Text"" : ""woot"",
                ""Type"" : ""1""
            },
            { 
                ""AlertID"" : ""3"",
                ""TSExpires"" : null,
                ""Target"" : ""1"",
                ""Text"" : ""woot"",
                ""Type"" : ""1""
            }
        ],
        ""session"" : ""0bc8d0835f93ac3ebbf11560b2c5be9a""
    },
    ""result"" : ""4be26bc400d3c""
}
</code></pre>
<p>What way would be easiest to access this data? I'm using the GSON module.</p>
",0,321
9,13375357,Proper use cases for Android UserManager.isUserAGoat()?,https://stackoverflow.com/questions/13375357/proper-use-cases-for-android-usermanager-isuseragoat,true,372738,13375461,12,4042,2018-09-07 16:21:54.000000,2012-11-14 16:34:01.000000,2024-09-02 18:31:03.000000,542091,"<p>I was looking at the new APIs introduced in <a href=""http://en.wikipedia.org/wiki/Android_version_history#Android_4.1.2F4.2_Jelly_Bean"" rel=""noreferrer"">Android 4.2</a>.
While looking at the <a href=""http://developer.android.com/reference/android/os/UserManager.html"" rel=""noreferrer""><code>UserManager</code></a> class I came across the following method:</p>

<blockquote>
<pre><code>public boolean isUserAGoat()
</code></pre>
  
  <p>Used to determine whether the user making this call is subject to teleportations.</p>
  
  <p>Returns whether the user making this call is a goat.</p>
</blockquote>

<p>How and when should this be used?</p>
",20,4062
4,309424,How do I read / convert an InputStream into a String in Java?,https://stackoverflow.com/questions/309424/how-do-i-read-convert-an-inputstream-into-a-string-in-java,true,2735755,309448,66,4756,2022-09-23 22:49:38.000000,2008-11-22 00:47:40.000000,2024-06-17 02:12:05.000000,16616,"<p>If you have a <code>java.io.InputStream</code> object, how should you process that object and produce a <code>String</code>?</p>
<hr />
<p>Suppose I have an <code>InputStream</code> that contains text data, and I want to convert it to a <code>String</code>, so for example I can write that to a log file.</p>
<p>What is the easiest way to take the <code>InputStream</code> and convert it to a <code>String</code>?</p>
<pre><code>public String convertStreamToString(InputStream is) {
// ???
}
</code></pre>
",8,4764
5,271526,How do I avoid checking for nulls in Java?,https://stackoverflow.com/questions/271526/how-do-i-avoid-checking-for-nulls-in-java,true,1444994,271874,72,4426,2023-05-24 19:37:07.000000,2008-11-07 16:31:40.000000,2024-10-30 01:30:39.000000,34856,"<p>I use <code>x != null</code> to avoid <a href=""https://docs.oracle.com/javase/9/docs/api/java/lang/NullPointerException.html"" rel=""noreferrer""><code>NullPointerException</code></a>. Is there an alternative?</p>
<pre class=""lang-java prettyprint-override""><code>if (x != null) {
    // ...
}
</code></pre>
",17,4443
6,40471,What are the differences between a HashMap and a Hashtable in Java?,https://stackoverflow.com/questions/40471/what-are-the-differences-between-a-hashmap-and-a-hashtable-in-java,true,1767056,40878,35,4331,2020-08-01 19:19:23.000000,2008-09-03 04:12:00.000000,2024-08-13 01:38:34.000000,4316,"<p>What are the differences between a <a href=""https://docs.oracle.com/en/java/javase/11/docs/api/java.base/java/util/HashMap.html"" rel=""noreferrer""><code>HashMap</code></a> and a <a href=""https://docs.oracle.com/en/java/javase/11/docs/api/java.base/java/util/Hashtable.html"" rel=""noreferrer""><code>Hashtable</code></a> in Java?</p>

<p>Which is more efficient for non-threaded applications?</p>
",8,4339
10,46898,How do I efficiently iterate over each entry in a Java Map?,https://stackoverflow.com/questions/46898/how-do-i-efficiently-iterate-over-each-entry-in-a-java-map,true,3476711,46908,46,4014,2020-03-08 14:31:13.000000,2008-09-06 05:12:48.000000,2024-11-11 22:21:35.000000,4807,"<p>If I have an object implementing the <code>Map</code> interface in Java and I wish to iterate over every pair contained within it,  what is the most efficient way of going through the map?</p>

<p>Will the ordering of elements depend on the specific map implementation that I have for the interface?</p>
",11,4025
7,363681,How do I generate random integers within a specific range in Java?,https://stackoverflow.com/questions/363681/how-do-i-generate-random-integers-within-a-specific-range-in-java,true,5292943,,59,4120,2022-12-02 22:06:05.000000,2008-12-13 02:20:57.000000,2024-08-23 03:53:03.000000,42155,"<p>How do I generate a random <code>int</code> value in a specific range?</p>
<p>The following methods have bugs related to integer overflow:</p>
<pre class=""lang-java prettyprint-override""><code>randomNum = minimum + (int)(Math.random() * maximum);
// Bug: `randomNum` can be bigger than `maximum`.
</code></pre>
<pre class=""lang-java prettyprint-override""><code>Random rn = new Random();
int n = maximum - minimum + 1;
int i = rn.nextInt() % n;
randomNum =  minimum + i;
// Bug: `randomNum` can be smaller than `minimum`.
</code></pre>
",17,4137
8,157944,Create ArrayList from array,https://stackoverflow.com/questions/157944/create-arraylist-from-array,true,1872492,157950,42,4116,2023-10-09 15:51:04.000000,2008-10-01 22:38:32.000000,2023-11-20 23:00:59.000000,939,"<pre class=""lang-java prettyprint-override""><code>Element[] array = {new Element(1), new Element(2), new Element(3)};
</code></pre>
<p>How do I convert the above variable of type <code>Element[]</code> into a variable of type <a href=""https://docs.oracle.com/en/java/javase/11/docs/api/java.base/java/util/ArrayList.html"" rel=""noreferrer""><code>ArrayList<Element></code></a>?</p>
<pre class=""lang-java prettyprint-override""><code>ArrayList<Element> arrayList = ...;
</code></pre>
",7,4123
93,40352684,What is the equivalent of Java static methods in Kotlin?,https://stackoverflow.com/questions/40352684/what-is-the-equivalent-of-java-static-methods-in-kotlin,true,595734,40352734,30,1120,2023-09-24 15:02:31.000000,2016-11-01 08:52:33.000000,2024-05-13 14:46:21.000000,14316,"<p>There is no <code>static</code> keyword in Kotlin.</p>
<p>What is the best way to represent a <code>static</code> Java method in Kotlin?</p>
",3,1123
906,19533528,Installing Java on OS X 10.9 (Mavericks),https://stackoverflow.com/questions/19533528/installing-java-on-os-x-10-9-mavericks,true,410774,19535253,11,321,2014-08-07 02:57:28.000000,2013-10-23 13:32:52.000000,2017-06-19 02:23:02.000000,2909913,"<p>I have installed the <a href=""http://en.wikipedia.org/wiki/Java_Development_Kit"" rel=""noreferrer"">JDK</a> on <a href=""http://en.wikipedia.org/wiki/OS_X_Mountain_Lion"" rel=""noreferrer"">Mac OS X v10.8</a> (Mountain Lion). When I upgraded it to <a href=""https://en.wikipedia.org/wiki/OS_X_Mavericks"" rel=""noreferrer"">Mac OS X v10.9</a> (Mavericks) and ran <code>java -version</code> in the terminal, it showed:</p>

<blockquote>
  <p>No Java runtime present, requesting install.</p>
</blockquote>

<p>Then I manually installed the JDK (1.7) on my Mac. It seems that the installation worked fine. When the installation was done, I opened the terminal and typed <code>java -version</code> as well. It also showed the same error:</p>

<blockquote>
  <p>No Java runtime present, requesting install.</p>
</blockquote>

<p>How can I solve this problem?</p>
",0,321
